,SampleTimeFine [micro_sec],Acc_X [m_sec_2],Acc_Y [m_sec_2],Acc_Z [m_sec_2],Gyr_X [dps],Gyr_Y [dps],Gyr_Z [dps]
0,291939774.0,0.0,0.0,0.0,0.0,0.0,0.0
1,291948107.0,-0.7990484237670898,-0.076827622950077,9.725909233093262,1.6789106130599976,-1.1099801063537598,-0.1051336377859115
2,291956440.0,-0.6558331251144409,0.4256879091262817,9.47919464111328,1.9627673625946045,-1.2243218421936035,-0.1018293872475624
3,291964773.0,-0.5772519707679749,0.5709784626960754,9.240349769592283,1.5333449840545654,-1.2502179145812988,-0.2080516219139099
4,291973106.0,-0.4743265211582184,0.0714068859815597,9.343164443969728,0.9845855236053468,-1.197939157485962,-0.0773421749472618
5,291981439.0,-0.4945259690284729,-0.3187507092952728,9.665745735168455,1.3535586595535278,-1.124810814857483,-0.1050567924976348
6,291989772.0,-0.5709254145622253,0.0772259384393692,9.688754081726074,1.8915854692459104,-0.9037342667579652,-0.1914279758930206
7,291998105.0,-0.6929338574409485,0.5697711110115051,9.450372695922852,1.8143330812454224,-0.8791958093643188,-0.123012363910675
8,292006438.0,-0.7539168000221252,0.4152368307113647,9.356569290161133,1.1308939456939695,-1.0017598867416382,-0.2921431362628937
9,292014771.0,-0.7017582654953003,-0.1361043006181717,9.609128952026367,1.0345590114593506,-1.066435933113098,-0.1415570676326751
10,292023104.0,-0.6268794536590576,-0.1680915057659149,9.7246675491333,1.4948467016220093,-1.157801866531372,-0.0653034895658493
11,292031437.0,-0.6476283073425293,0.293679416179657,9.572673797607422,1.757315754890442,-1.0770145654678345,-0.2709857821464538
12,292039770.0,-0.592363178730011,0.4277949929237366,9.35521411895752,1.3128576278686523,-1.156341791152954,-0.1469104290008545
13,292048103.0,-0.4937015175819397,0.0476465038955211,9.431371688842772,1.0704444646835327,-1.3004730939865112,-0.269064724445343
14,292056436.0,-0.3877883553504944,-0.1400435417890548,9.5867280960083,1.3221040964126587,-1.060518741607666,-0.0944781005382537
15,292064769.0,-0.516355037689209,0.1335779279470443,9.537637710571287,1.6833674907684326,-0.6708495616912842,-0.0831053778529167
16,292073102.0,-0.7051916718482971,0.2523737847805023,9.434505462646484,1.5224844217300415,-0.6578631401062012,-0.101009726524353
17,292081435.0,-0.7995592355728149,-0.0698331072926521,9.51828670501709,1.3183389902114868,-0.8213332295417786,-0.2179130911827087
18,292089768.0,-0.7906357049942017,-0.2232590466737747,9.729984283447266,1.4783257246017456,-1.0626705884933472,-0.1057996079325676
19,292098101.0,-0.6967194676399231,0.20864038169384,9.601189613342283,1.8585433959960933,-1.1594667434692385,-0.1912743002176284
20,292106434.0,-0.6030476689338684,0.5557148456573486,9.311832427978516,1.7361584901809692,-1.166587471961975,-0.2609706223011017
21,292114767.0,-0.4957033395767212,0.2446444034576416,9.273103713989258,1.1193678379058838,-1.2794183492660522,-0.2169653922319412
22,292123100.0,-0.4740260541439056,-0.3129726350307464,9.52269458770752,1.1050750017166138,-1.0929466485977173,-0.0707080960273742
23,292131433.0,-0.5507232546806335,-0.1778980493545532,9.696176528930664,1.7646414041519165,-0.8202317953109741,-0.065815769135952
24,292139766.0,-0.6840876936912537,0.4505484700202942,9.544437408447266,2.035550355911255,-0.6075952053070068,-0.233576163649559
25,292148099.0,-0.7955260872840881,0.5963922739028931,9.324788093566896,1.50383722782135,-0.7910572290420532,-0.1363061517477035
26,292156432.0,-0.7977923154830933,0.0290119312703609,9.436409950256348,1.0598913431167605,-0.9882611632347108,0.0241029933094978
27,292164765.0,-0.7624341249465942,-0.2894465625286102,9.660585403442385,1.3129600286483765,-1.0689716339111328,-0.1021879985928535
28,292173098.0,-0.6904644966125488,0.0908638089895248,9.6287841796875,1.8690450191497805,-1.028680443763733,-0.1483192294836044
29,292181431.0,-0.6354180574417114,0.4586755037307739,9.387791633605955,1.6407454013824463,-1.0612361431121826,-0.0831309929490089
30,292189764.0,-0.5272499918937683,0.2376428246498108,9.357256889343262,1.228356122970581,-1.2753711938858032,-0.0939145907759666
31,292198097.0,-0.4084702432155609,-0.1358324885368347,9.475306510925291,1.1163963079452517,-1.1373103857040403,-0.0892527997493743
32,292206430.0,-0.4949449002742767,-0.0204404853284358,9.553006172180176,1.7278848886489868,-0.7496646642684937,-0.0869475156068801
33,292214763.0,-0.6756393313407898,0.2643591165542602,9.45138931274414,1.771173119544983,-0.6167266964912415,-0.0666098147630691
34,292223096.0,-0.8519536852836609,0.1171993315219879,9.479941368103027,1.3634201288223269,-0.82719886302948,-0.1668383032083511
35,292231429.0,-0.9060376286506652,-0.0768298879265785,9.603574752807615,1.338036298751831,-1.0067802667617798,-0.1692716628313064
36,292239762.0,-0.8476105332374573,0.0903963670134544,9.688397407531738,1.6198188066482544,-1.4203733205795288,-0.1228842958807945
37,292248095.0,-0.5453258752822876,0.4501102268695831,9.500615119934082,1.751680612564087,-1.4617916345596311,-0.293500691652298
38,292256428.0,-0.4323018789291382,0.3555483520030975,9.308793067932127,1.276126742362976,-1.4603825807571411,-0.2539267241954803
39,292264761.0,-0.2989245355129242,-0.1512181907892227,9.403970718383787,1.0170388221740725,-1.1866434812545776,-0.1563108712434768
40,292273094.0,-0.2984152436256408,-0.3465350270271301,9.607314109802246,1.5961766242980957,-0.8422088027000427,0.0206706877797842
41,292281427.0,-0.6160939931869507,0.2783557176589966,9.599109649658203,2.078134059906006,-0.6572228670120239,-0.1479093879461288
