SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
2550845455.0,0.0,0.0,0.0,0.0,0.0,0.0
2550853788.0,0.4192239642143249,-0.1373294591903686,9.837420463562012,-3.2837576866149902,-2.690173625946045,-0.4310491383075714
2550862121.0,0.394254207611084,-0.1191836297512054,9.82474136352539,-3.3455138206481934,-2.6391754150390625,-0.3066664636135101
2550870454.0,0.4107555150985718,-0.1249713897705078,9.838824272155762,-3.217058181762696,-2.492175340652466,-0.4073047339916229
2550878787.0,0.3992953896522522,-0.1232645288109779,9.824624061584473,-3.28560209274292,-2.5828499794006348,-0.3599440455436706
2550887120.0,0.3971856832504272,-0.1304985284805297,9.792827606201172,-3.232298851013184,-2.7090513706207275,-0.4207778871059418
2550895453.0,0.4010014235973358,-0.1294618248939514,9.825909614562988,-3.2444143295288086,-2.7326676845550537,-0.2651457488536834
2550903786.0,0.4048158526420593,-0.1251097321510315,9.845317840576172,-3.3477935791015625,-2.72961950302124,-0.3798719346523285
2550912119.0,0.4214544594287872,-0.1190088167786598,9.840455055236816,-3.2311716079711914,-2.607516288757324,-0.3705995380878448
2550920452.0,0.4168289601802826,-0.1348902583122253,9.838685035705566,-3.2276623249053955,-2.53382420539856,-0.2943459749221802
2550928785.0,0.4233846962451935,-0.130140408873558,9.822830200195312,-3.291595935821533,-2.658949851989746,-0.3901176452636719
2550937118.0,0.4089577198028564,-0.1322015821933746,9.835265159606934,-3.2980761528015137,-2.7365100383758545,-0.4048970341682434
2550945451.0,0.4244382381439209,-0.1227212846279144,9.84031105041504,-3.2609100341796875,-2.5946578979492188,-0.3463684618473053
2550953784.0,0.4083088636398315,-0.1271732449531555,9.839895248413086,-3.3390846252441406,-2.643862724304199,-0.4394762814044952
2550962117.0,0.414460688829422,-0.1242362409830093,9.872812271118164,-3.19461989402771,-2.619324207305908,-0.2970610857009887
