SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
2858409453.0,0.0,0.0,0.0,0.0,0.0,0.0
2858417786.0,0.0910771489143371,-0.0149637470021843,10.171893119812012,-0.226250559091568,-0.1836540699005127,1.2294448614120483
2858426119.0,0.115175075829029,0.0029612770304083,10.192035675048828,-0.2508914172649383,-0.2459222674369812,1.1523716449737549
2858434452.0,0.1228429228067398,-0.004749487619847,10.159061431884766,-0.2573718428611755,-0.2000471651554107,1.3507537841796875
2858442785.0,0.1030152440071106,0.000357642158633,10.175548553466797,-0.2459222674369812,-0.1951036155223846,1.1982978582382202
2858451118.0,0.1033156663179397,0.0127892829477787,10.181035041809082,-0.2082693427801132,-0.2410555481910705,1.2064688205718994
2858459451.0,0.1201677620410919,0.0105862077325582,10.204839706420898,-0.3131596446037292,-0.2081668972969055,1.1933799982070925
2858467784.0,0.1131293624639511,0.0009727866272442,10.197514533996582,-0.3638501763343811,-0.0851673409342765,1.234413981437683
2858476117.0,0.1040738672018051,-0.0123815713450312,10.195669174194336,-0.2804502546787262,-0.2885187566280365,1.2212483882904053
2858484450.0,0.1173566952347755,0.001795363612473,10.20664882659912,-0.2885187268257141,-0.1540696173906326,1.1557013988494873
2858492783.0,0.1047319248318672,-0.0114302430301904,10.188344955444336,-0.2607017159461975,-0.1868814677000045,1.0835462808609009
2858501116.0,0.0976649150252342,-0.0117807323113083,10.15904712677002,-0.1819891184568405,-0.1903137564659118,1.2277798652648926
2858509449.0,0.0925148725509643,0.0007081314688548,10.213980674743652,-0.3638758361339569,-0.119516022503376,1.1671767234802246
2858517782.0,0.1109334379434585,-0.0181753747165203,10.17917537689209,-0.3343938589096069,-0.1425176113843917,1.1786519289016724
2858526115.0,0.0873576700687408,-0.0131254671141505,10.192007064819336,-0.2935391366481781,-0.2376744747161865,1.2163302898406982
2858534448.0,0.0913489609956741,-0.0172455050051212,10.17917537689209,-0.2425924241542816,-0.160754919052124,1.2802634239196775
